Nomenclature	library_id	reference_name	polya_length	cumpct	polya_pct	size	polyA	type	line	diff	subunit	title
LSU-11	57-WC-48ATc	toxo_LSU_rRNA_RL	0	35.7225994180407	35.7225994180407	20935.0800702353	0	PolyA-KO	57-WC	0.362931241808284	LSU	LSU-11 | size=20935 | diff=0.4
LSU-11	57-WC-48ATc	toxo_LSU_rRNA_RL	1	87.8855480116392	52.1629485935985	20935.0800702353	0	PolyA-KO	57-WC	0.362931241808284	LSU	LSU-11 | size=20935 | diff=0.4
LSU-11	57-WC-48ATc	toxo_LSU_rRNA_RL	2	95.4413191076624	7.55577109602328	20935.0800702353	0	PolyA-KO	57-WC	0.362931241808284	LSU	LSU-11 | size=20935 | diff=0.4
LSU-11	57-WC-48ATc	toxo_LSU_rRNA_RL	3	97.5460717749758	2.10475266731329	20935.0800702353	0	PolyA-KO	57-WC	0.362931241808284	LSU	LSU-11 | size=20935 | diff=0.4
LSU-11	57-WC-48ATc	toxo_LSU_rRNA_RL	4	98.6032977691562	1.05722599418041	20935.0800702353	0	PolyA-KO	57-WC	0.362931241808284	LSU	LSU-11 | size=20935 | diff=0.4
LSU-11	57-WC-48ATc	toxo_LSU_rRNA_RL	5	98.9039767216295	0.300678952473327	20935.0800702353	0	PolyA-KO	57-WC	0.362931241808284	LSU	LSU-11 | size=20935 | diff=0.4
LSU-11	57-WC-noATc	toxo_LSU_rRNA_RL	0	33.6474586744941	33.6474586744941	20935.0800702353	0	Untreated	57-WC	0.362931241808284	LSU	LSU-11 | size=20935 | diff=0.4
LSU-11	57-WC-noATc	toxo_LSU_rRNA_RL	1	81.4228333075854	47.7753746330913	20935.0800702353	0	Untreated	57-WC	0.362931241808284	LSU	LSU-11 | size=20935 | diff=0.4
LSU-11	57-WC-noATc	toxo_LSU_rRNA_RL	2	90.4835470415573	9.06071373397188	20935.0800702353	0	Untreated	57-WC	0.362931241808284	LSU	LSU-11 | size=20935 | diff=0.4
LSU-11	57-WC-noATc	toxo_LSU_rRNA_RL	3	92.947628611154	2.46408156959679	20935.0800702353	0	Untreated	57-WC	0.362931241808284	LSU	LSU-11 | size=20935 | diff=0.4
LSU-11	57-WC-noATc	toxo_LSU_rRNA_RL	4	95.1799783716978	2.2323497605438	20935.0800702353	0	Untreated	57-WC	0.362931241808284	LSU	LSU-11 | size=20935 | diff=0.4
LSU-11	57-WC-noATc	toxo_LSU_rRNA_RL	5	95.8520006179515	0.672022246253669	20935.0800702353	0	Untreated	57-WC	0.362931241808284	LSU	LSU-11 | size=20935 | diff=0.4
LSU-11	57-WC-noATc	toxo_LSU_rRNA_RL	6	96.6321643750966	0.780163757145064	20935.0800702353	0	Untreated	57-WC	0.362931241808284	LSU	LSU-11 | size=20935 | diff=0.4
LSU-11	57-WC-noATc	toxo_LSU_rRNA_RL	7	97.1728719295535	0.540707554456975	20935.0800702353	0	Untreated	57-WC	0.362931241808284	LSU	LSU-11 | size=20935 | diff=0.4
LSU-11	57-WC-noATc	toxo_LSU_rRNA_RL	8	97.7367526649158	0.563880735362274	20935.0800702353	0	Untreated	57-WC	0.362931241808284	LSU	LSU-11 | size=20935 | diff=0.4
